id,name,salary_from,salary_to,currency,published_at,archived,url,requirement,responsibility
110337472,Младший аналитик,0,0,0,2024-11-07T18:48:57+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110337472,"Высшее образование или проходишь последние курсы обучения (предпочтительно: математика, статистика, информатика). Готовность работать полный день в офисе 5/2 (для...","Разработка веб-форм для онлайн-опросов в нашем ПО с использованием скриптов. Работа с базами данных, полученных в ходе опросов..."
110037650,Junior Тестировщик/QA Engineer,60000,0,RUR,2024-11-04T10:40:24+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110037650,Понимание структуры web-приложений. Знание английского языка B1. Умение работать с командой. Умение составлять ТЗ. Postman. DevTools. Figma. ,"Тестирование сайтов, мобильных приложений и API в соответствии с ТЗ. Анализировать ТЗ к разрабатываемому продукту. Написание Bug-репортов."
110038797,Python-разработчик (Junior),150000,180000,RUR,2024-11-07T11:36:47+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110038797,Базовые знания <highlighttext>Python</highlighttext>. Знание основ работы с FastAPI. Знание основ работы с PostgreSQL (MongoDB будет плюсом). Понимание принципов REST. ,Участие в разработке и поддержке веб-приложений на <highlighttext>Python</highlighttext>. Помощь в интеграции сторонних сервисов и API. Поддержка существующего кода и...
110310787,Стажер IT,0,0,0,2024-11-07T12:23:55+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110310787,"Аналитический склад ума, ответственность, исполнительность. Знания языков программирования: VBA, SQL, <highlighttext>Python</highlighttext>, C++, C#.","Участие в поддержке, настройке и разработке системы TDM Navigator."
109974390,Начинающий DevOps-инженер / Стажёр,50000,120000,RUR,2024-11-02T19:43:47+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=109974390,Тестовый отбор — выполнение кандидатами задач на знание базовых linux команд. Успешно прошедшие тестовые задания кандидаты переходят ко второму этапу.,"Зачисление в штат. Вашими должностными обязанностями будет: Перенос приложений в систему оркестрации Kubernetes; Автоматизация процессов разработки, тестирования и сборки релизного..."
110277431,Специалист по обработке данных в Excel (в Новосибирске),0,0,0,2024-11-07T05:50:07+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110277431,"Знание Excel на продвинутом уровне (сложные формулы, сводные таблицы и т.д.), Power Query. Основы Power BI, <highlighttext>Python</highlighttext>.","Транспортная Компания ""ЯН"" — предоставление транспортных логистических услуг! Работа с данными в Excel (сводные таблицы), подробности при личной встрече."
110261481,QA Engineer,0,0,0,2024-11-06T17:18:48+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110261481,"4. Базовое понимание принципов ООП. 5. Плюсом будет опыт работы с автотестами. Желательно: * знание стэка: <highlighttext>Python</highlighttext>, FastAPI, PostgreSQL, VueJS, JS.","Разрабатываем собственную платформу для управления видео и аудио информацией в магазинах, на транспорте, кафе и ресторанах. Занимаемся как доставкой и..."
110325608,Python Developer,0,0,0,2024-11-07T14:57:11+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110325608,Опыт работы на позиции разработчика от 2х лет. Отличное знание <highlighttext>Python</highlighttext>. Отличное знание SQL. Отличное знание алгоритмов и структур...,"Участвовать в разработке продукта: декомпозиция, оценка задач и их реализация. Взаимодействовать с членами команды, интеграторами платформ, заказчиками. Участвовать в разработке..."
110319598,Программист на Python,0,0,0,2024-11-07T13:38:48+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110319598,Знание основ SQL. Опыт работы с реляционной БД (желательно PostgreSQL). Понимание как работает асихронность в <highlighttext>python</highlighttext>. Желание развивать профессиональные навыки.,Написание backend части корпоративных сервисов на <highlighttext>Python</highlighttext>. Разработка новых и поддержка существующих сервисов. Участие в принятии архитектурных решений по проектам. 
110335772,Младший аналитик данных / Junior data analyst,0,0,0,2024-11-07T17:42:32+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110335772,"Хороший SQL (PostgreSQL или MySQL, будет плюсом Clickhouse или другой диалект для работы с колоночной базой данных). - <highlighttext>Python</highlighttext> для анализа...",Решением задач бизнеса с помощью аналитики и BI. - Разработкой и реализацией моделей и алгоритмов обработки данных. - Созданием и поддержкой дэшбордов...
